I'm in good health.	Olen terve.
I used to eat pizza, but now I don't eat it at all.	Söin ennen pitsaa, mutta en syö sitä enää ollenkaan.
I warned Tom.	Mä varoitin Tomia.
You've grown.	Olet kasvanut.
Can I go hiking next Sunday?	Voinko mennä vaeltamaan ensi sunnuntaina?
Tom's room is quite small.	Tomin huone on melko pieni.
She goes to the movies once a week.	Hän käy elokuvissa kerran viikossa.
I wonder what Tom's favorite food is.	Ihmettelen mikä on Tomin mieliruoka.
I'm sorry for what I said. I was out of line.	Olen pahoillani siitä mitä sanoin. Se oli asiatonta.
Did you notice that Tom was looking at you?	Huomatsitko, että Tom katsoi sinua?
Tom can't work.	Tom ei voi tehdä töitä.
Everyone screamed.	Kaikki kirkuivat.
I have a habit of getting up early.	Minulla on tapana herätä aikaisin.
Common sense is the collection of prejudices acquired by age eighteen.	Maalaisjärki on kokoelma ennakkoluuloja, jotka on omaksuttu kahdeksaantoista ikävuoteen mennessä.
Tom's trip lasted three months.	Tomin matka kesti kolme kuukautta.
I feel like an amoeba.	Tunnen itseni ameebaksi.
A collection of her verses has just been published.	Kokoelma hänen runouttaan on juuri julkaistu.
I still think about her from time to time.	Minä mietin häntä vieläkin toisinaan.
I do not understand the exact meaning of this sentence.	En ymmärrä tämän lauseen täsmällistä merkitystä.
Tom has plenty of money.	Tomilla on yllinkyllin rahaa.
Tom falls in love with every beautiful girl he meets.	Tomi rakastuu jokaiseen kauniiseen naiseen, jonka hän tapaa.
Tom asked for a lot of money.	Tom pyysi suurta summaa rahaa.
I won't sleep tonight.	Tänä yönä minä en nuku.
Your guess is as good as mine on this one.	Arvauksesi tästä asiasta on aivan yhtä hyvä kuin minunkin.
I don't think you're crazy.	En usko sinun olevan hullu.
I know a lot about environmental problems.	Tiedän paljon ympäristöongelmista.
We were all drenched with perspiration.	Olimme kaikki hiestä märkiä.
This is the worst of all.	Tämä on pahinta kaikesta.
The street lamps don't give enough light.	Katulamput eivät tuota tarpeeksi valoa.
Tom looks a lot like John, doesn't he?	Tomi on aika samannäköinen kuin Joni, eiks vaan?
Did something happen at work?	Sattuiko töissä jotain?
Which is your book?	Mikä näistä on sinun kirjasi?
Let's do this again. It's been a lot of fun.	Otetaan uudestaan. Minulla on ollut todella hauskaa.
My daughter is getting married in June.	Tyttäreni menee naimisiin kesäkuussa.
I'm baffled.	Olen ymmälläni.
I am very sorry.	Olen todella pahoillani.
That one's all yours.	Se on sinun kokonaan.
Who would do such a stupid thing?	Kuka tekisi sellaisen typeryyden?
This is my desk.	Tämä on työpöytäni.
I bought a few eggs and a little milk.	Ostin muutaman munan ja vähän maitoa.
I get asked that question a lot.	Minulta kysytään tuota usein.
We had expected that you would succeed this time.	Odotimme, että onnistuisit tällä kertaa.
I'm a lousy fisherman.	Olen huono kalamies.
Would you mind walking the dog?	Voisitko ulkoiluttaa koiraa?
She's my best friend.	Hän on minun paras ystäväni.
Tom, please hand me the hammer.	Tom, ojentaisitko minulle vasaran?
I want to be sure Tom is innocent.	Haluan olla varma, että Tom on viaton.
If you became blind suddenly, what would you do?	Jos yhtäkkiä sokeutuisit, mitä tekisit?
We believe in God.	Uskomme Jumalaan.
I have two older sisters.	Minulla on kaksi isosiskoa.
I am not good at sports.	En ole hyvä urheilussa.
Please do not buy it.	Älä vain osta sitä.
What have I missed now?	Mitä minulta jäi nyt väliin?
The princess lives in the castle.	Prinsessa asuu linnassa.
"The key is in the lock," the man added.	”Avain on lukossa”, mies lisäsi.
You'll stay here.	Sinä jäät tänne.
Tom is the perfect son.	Tom on täydellinen poika.
We hope for the best.	Toivomme parasta.
It's a nice country to visit, but I wouldn't live there.	Siinä maassa on mukava käydä, mutta en haluaisi asua siellä.
We're disappointed.	Me olemme pettyneitä.
Tom and I were really worried about you.	Tom ja minä olimme todella huolissamme sinusta.
What does Tom teach?	Mitä Tomi opettaa?
I can't wait to hug you again.	En jaksa malttaa odottaa, että saan halata sinua taas.
I'm sorry, I forgot your name.	Anteeksi, unohdin nimesi.
Tom will be waiting.	Tom tulee odottamaan.
Take whatever you want.	Ota mitä ikinä haluatkin.
Do you speak English?	Osaatko englantia?
The towels are dirty.	Pyyhkeet ovat likaisia.
Let's talk about love.	Puhutaan rakkaudesta.
My head aches.	Mun pää on kipee.
Why are you here?	Miksi olet täällä?
Give me my money back.	Anna minulle rahani takaisin!
Do you know what time it is in Boston?	Tiedätkö kuinka paljon kello on Bostonissa?
What he's doing is against the law.	Se, mitä hän tekee, on vastoin lakia.
Iceland has many volcanoes.	Islannissa on paljon tulivuoria.
Tom has an identical twin.	Tomilla on identtinen kaksonen.
How many guests are you planning on?	Montako vierasta olet suunnitellut?
Tom eats lunch here at least once a week.	Tom syö täällä lounasta vähintään kerran viikossa.
He inherited the business from his father.	Hän peri liikkeensä isältään.
He is still alive.	Hän on vielä elossa.
Has anyone ever broken your heart?	Onko kukaan koskaan särkenyt sydäntäsi?
You don't like Tom, do you?	Et taida pitää Tomista, vai kuinka?
We stayed inside.	Me pysyimme sisällä.
Is that what you want to talk to me about?	Siitäkö haluat puhua kanssani?
I need to know before 2:30.	Minun pitää tietää ennen 2:30.
I saw a strange woman there.	Näin siellä oudon naisen.
Tom was good at violin.	Tom oli hyvä soittamaan viulua.
The television doesn't work.	Televisio ei toimi.
I think this is the best part of the movie.	Minusta tämä on elokuvan paras osa.
You have to help us.	Sinun täytyy auttaa meitä.
I'm certain of your success.	Olen varma, että tulet menestymään.
I hope I can get that job.	Toivon, että saan sen työpaikan.
Tom stayed at a cheap hotel.	Tom yöpyi halvassa hotellissa.
Don't look so sad.	Älä näytä noin surulliselta.
Seriously?	Oikeesti?
Tom lived there.	Tomi asui täällä.
Tom stole my watch.	Tomi varasti kelloni.
Have you ever seen this before?	Oletko koskaan nähnyt tätä aiemmin?
Let me think about it a bit longer.	Anna kun mietin sitä vähän pidempään.
I think it's going to take time.	Mä luulen, et siihen menee aikaa.
That was a problem.	Se oli ongelma.
I know where you can find Tom.	Tiedän mistä Tomin löytää.
Tom went to an all-boys school.	Tom kävi poikakoulua.
The percentage of illiteracy in that country is 36%.	Siinä maassa lukutaidottomuus on 36%.
Are you hungry?	Oletteko nälkäisiä?
You don't need to worry about me.	Sinun ei tarvitse huolehtia minusta.
Why bring it up now?	Miksi ottaa se nyt puheeksi?
One thing you definitely don't want to do is borrow money from Tom.	Asia, jota et missään nimessä halua tehdä, on lainata rahaa Tomilta.
I called Tom today.	Soitin tänään Tomille.
He's taking a shower.	Hän on suihkussa.
I want Tom to respect me.	Haluan Tomin kunnioittavan minua.
I didn't go to Hong Kong by plane.	En mennyt Hong Kongiin lentokoneella.
Tom asked Mary to open the gate.	Tom pyysi Marya avaamaan portin.
I will be sixteen next birthday.	Täytän kuusitoista seuraavana syntymäpäivänäni.
I take dance lessons.	Minä käyn tanssitunneilla.
There is a man at the door.	Ovella on joku mies.
What happened to Tom's parents?	Mitä Tomin vanhemmille kävi?
I used to be as optimistic as Tom when I first started working here.	Minäkin olin yhtä optimistinen kuin Tom, kun alunperin aloitin työt täällä.
Tom and Mary chose Hawaii for their honeymoon.	Tom ja Mari valitsivat häämatkakohteekseen Hawaijin.
Tom changed.	Tomi muuttui.
I have never been to the States.	En ole koskaan käynyt Yhdysvalloissa.
The girl was afraid to jump down from the roof.	Tyttöä pelotti katolta alas hyppääminen.
The candle burned out.	Kynttilä paloi loppuun.
Tom stopped pacing.	Tom lopetti edestakaisin kävelyn.
We could sell that.	Me voisimme myydä sen.
Tom is obsessive.	Tomi on pakkomielteinen.
I'm making a movie.	Olen tekemässä elokuvaa.
My girlfriend is very beautiful.	Tyttöystäväni on erittäin kaunis.
I have a business proposition for you.	Minulla on sinulle eräs kaupankäyntiin liittyvä tarjous.
This book has now been translated into French.	Tämä kirja on nyt käännetty ranskaksi.
What's the best way to say this in French?	Mikä on paras tapa sanoa tämä ranskaksi?
I am never at home on Sundays.	En ole koskaan kotona sunnuntaisin.
I hope you can avoid all the stupid mistakes that amateurs usually make.	Toivon, että voit välttää kaikki typerät virheet, joita amatöörit yleensä tekevät.
I'm there all the time.	Olen siellä kaiken aikaa.
I don't want to go alone.	En halua mennä yksin.
Your support is appreciated.	Tukeasi arvostetaan.
Do it once again.	Tee se vielä kerran.
You're being too hard on yourself.	Olet liian ankara itsellesi.
Our school stands on a hill.	Koulumme on kukkulan päällä.
Tom is a hard worker.	Tom on kova tekemään töitä.
What do you suggest that we do now?	Mitä sinä ehdotat, että me teemme nyt?
Can I make myself useful somehow?	Voinko olla jotenkin avuksi?
Tom waited anxiously.	Tom odotti huolestuneena.
Is this water drinkable?	Onko tämä vesi juomakelpoista?
Tom fell off his horse.	Tomi putosi hevosen selästä.
Why is Tom so late?	Miksi Tom on niin myöhässä?
I'm not mean.	En ole ilkeä.
Tom had all of his suits made to order.	Tom laitatti kaikki pukunsa kuntoon.
I prefer going on foot to going by bus.	Menen mieluummin jalan kuin bussilla.
They're probably scared.	He ovat todennäköisesti peloissaan.
Tom and Mary are there with John now.	Tom ja Mari ovat siellä Jonin kanssa nyt.
I thought you might want Tom to play golf with you.	Ajattelin, että saattaisit haluta Tomin pelaavan golfia kanssasi.
Tom goes jogging every morning.	Tomi käy lenkillä joka aamu.
We study music.	Me opiskelemme musiikkia.
Don't move or I'll shoot.	Älä liiku tai ammun.
What gives?	Mitä ihmettä?
The pen has run out of ink.	Kynästä on loppunut muste.
Please have a seat.	Käykää istumaan, olkaa hyvä.
Do you trust Tom?	Luotatko Tomiin?
I could do that now if you want me to.	Voisin tehdä sen nyt, jos niin haluat.
You're desperate.	Olet epätoivoinen.
Tom wasn't sure of anything.	Tom ei ollut varma mistään.
This is all I want to do.	Tässä on kaikki mitä haluan tehdä.
I was in the gym.	Olin punttisalilla.
You are free to go.	Voit lähteä vapaasti.
School starts next Monday.	Koulu alkaa ensi maanantaina.
I like watching TV.	Minä pidän TV:n katselusta.
I gave my word.	Lupasin.
Tom looked foolish.	Tomi näytti hölmöltä.
I don't want you to see Tom anymore.	En halua, että tapailet Tomia enää.
Tom has a beautiful daughter.	Tomilla on kaunis tytär.
I saw her yesterday.	Minä näin hänet eilen.
We swam in the sea.	Uimme meressä.
You hair is a mess.	Sinun hiuksesi ovat sekaisin.
We only have tea.	Meillä on vain teetä.
I feel like an impostor.	Tunnen itseni huijariksi.
Tom used to date my daughter.	Tomi seurusteli aikoinaan tyttäreni kanssa.
He is tall and strong.	Hän on pitkä ja vahva.
Stay put.	Pysy paikallasi.
Tom might be working overtime tonight.	Voi olla, että Tomi on ylitöissä tänä iltana.
Where did I put my coat?	Minne laitoin takkini.
My guess is that Tom isn't having much fun.	Arvaukseni on että Tomilla ei ole kovin kivaa.
Tom died before his son was born.	Tomi kuoli ennen poikansa syntymää.
You will have to go without her.	Sinun täytyy mennä ilman häntä.
Let me have a look at it, will you?	Annapa kun vilkaisen sitä vähän.
I think I'm really not any good at German.	Mielestäni en todellakaan ole yhtään hyvä saksassa.
Kiwi are mostly nocturnal and have a refined sense of smell uncommon in birds.	Kiivit ovat pääasiassa yöeläimiä ja niillä on linnuille harvinaisen tarkka hajuaisti.
Do it your way.	Tee se omalla tavallasi.
It's hard to resist temptation.	Kiusausta on vaikea vastustaa.
The translator identifies himself with the author's beliefs.	Kääntäjä samaistaa itsensä alkuperäisen tekijän uskomuksiin.
Is that your ex-wife?	Onko tuo entinen vaimosi?
This is not my specialty.	Tämä ei ole erikoisalaani.
Give me a break.	Lopeta jo!
Work slowly.	Työskentele hitaasti.
I thought you were going to travel around Australia.	Luulin, että aioit matkustella ympäri Australiaa.
Hold it right there, Tom!	Paikallasi, Tom!
Is this seat available?	Onko tämä paikka vapaana?
It was very cold last month.	Viime kuu oli todella kylmä.
Apparently, there is nothing that cannot happen today.	Näköjään ei ole mitään, mitä ei voisi tapahtua tänään.
Tom is in charge of this year's tennis tournament.	Tom vastaa tämän vuoden tennisturnauksesta.
It's useless to try.	On turha yrittää.
Your security guard wouldn't let me in.	Vartijanne ei suostunut päästämään minua sisään.
Tom is not a very good dancer.	Tom ei ole kovin hyvä tanssimaan.
A committee has been set up to investigate the problem.	Komitea on asetettu tutkimaan ongelmaa.
I think that's enough, Tom.	Minusta tuo riitää, Tom.
Do you have medical insurance?	Onko teillä sairausvakuutusta?
Help yourself to some grapes.	Ota rypäleitä, jos maistuu.
Tom filled the wheelbarrow with sand.	Tom täytti kottikärryn hiekalla.
Do you love your mother?	Pidätkö äidistäsi?
I don't want to read this book.	En halua lukea tätä kirjaa.
Tom'll pay.	Tomi maksaa.
I'm not telling you.	Minä en kerro sinulle.
Don't you have anything better to do?	Eikö sinulla ole mitään parempaa tekemistä?
I want some answers and I want them now.	Haluan jonkin vastauksen ja haluan sen nyt.
Tom wasn't home.	Tom ei ollut kotona.
Tom usually walks to school with Mary.	Tom tavallisesti kävelee Maryn kanssa kouluun.
I need to talk with Tom.	Minun täytyy puhua Tomin kanssa.
Tom would have apologized to Mary if he had thought it was important.	Tom olisi pyytänyt anteeksi Marylta, jos hän olisi pitänyt sitä tärkeänä.
Tom cleaned the house by himself.	Tom siivosi talon yksinään.
I don't even know where my mother was born.	En edes tiedä missä äitini syntyi.
Don't forget to write.	Älä unohda kirjoittaa.
Your skin is so soft.	Sinun ihosi on niin pehmeä.
Tom doesn't ever say "hi" to his neighbors.	Tom ei ikinä tervehdi naapureitaan.
I'll have somebody help you.	Järjestän jonkun auttamaan sinua.
Tom smiled when he saw Mary.	Tomi hymyili nähdessään Marin.
Please leave us alone.	Jätä meidät rauhaan.
I was invited to a pizza party.	Minut kutsuttiin pizzajuhliin.
Tom gave me a wink.	Tomi iski minulle silmää.
Are you aware of how much she loves you?	Tajuatko ollenkaan miten paljon hän rakastaa sinua?
Tom has been trying to learn how to brew the perfect cup of coffee.	Tom on yrittänyt oppia kuinka valmistaa täydellisen kupin kahvia.
He cheated on me.	Hän petti minua.
Tom speaks French as well as you.	Tom puhuu ranskaa yhtä hyvin kuin sinä.
Tom wrapped his arms around Mary.	Tom kietoi käsivartensa Marin ympärille.
What's the point of your question?	Mikä sinun kysymyksesi pointti on?
That woman knows where I live.	Se nainen tietää missä asun.
Your prediction finally came true.	Ennustuksesi kävi lopulta toteen.
What hotel are you staying in?	Missä hotellissa sinä asut?
I'm not going to hold your hand.	En aio pidellä sinua kädestä kiinni.
Tom, I want to have a little talk with you.	Tom, haluan vähän jutella kanssasi.
He likes my jokes.	Hän tykkää minun vitseistäni.
That won't be easy.	Se ei tule olemaan helppoa.
I'm not disturbing you, am I?	En kai vain häiritse sinua?
Draw a straight line.	Vedä suora viiva.
They didn't do it.	He eivät tehneet sitä.
Let me taste it.	Anna kun maistan sitä.
Have you ever baked a pizza?	Oletko koskaan leiponut pizzaa?
A honeymoon in Canada costs a lot of money.	Kuherruskuukausi Kanadassa maksaa pitkän pennin.
Many people have lost their savings.	Monet ovat menettäneet säästönsä.
Are you sure this is the right way?	Oletko varma, että tämä on oikea reitti?
You can take a break.	Voit pitää tauon.
Tom was divorced.	Tom oli eronnut.
They know us.	He tietävät meidät.
He's in prison.	Hän on vankilassa.
Tom didn't look as happy as Mary.	Tomi ei näyttänyt yhtä onnelliselta kuin Mari.
That's not going to help.	Tuo ei tule auttamaan.
Tom's in charge.	Tom on johdossa.
Tom makes his living by singing.	Tomi tienaa elantonsa laulamalla.
Get up and fight.	Nouse ylös ja taistele.
It's going to be all right.	Kaikki järjestyy kyllä.
What's your schedule today?	Minkälainen aikataulu sinulla on tänään?
Tom has no idea what Mary is thinking.	Tomilla ei ole mitään käsitystä siitä, mitä Mari ajattelee.
I looked everywhere.	Katsoin kaikkialta.
I didn't get any sleep last night.	En saanut yhtään nukuttua viime yönä.
People are stupid.	Ihmiset ovat tyhmiä.
You're just in time.	Olet juuri ajoissa.
I don't get it.	En ymmärrä.
You've been infected.	Olet saanut tartunnan.
I don't feel like playing.	Minua ei huvita pelata.
Tom has committed suicide.	Tomi teki itsemurhan.
You should be able to walk in a few days.	Sinun pitäisi pystyä taas kävelemään parissa päivässä.
I have to move on.	Minun on jatkettava eteenpäin.
Tom will always want you around.	Tom haluaa aina sinut lähelleen.
He scratched his head out of habit.	Hän raapi päätään sen kummemmin ajattelematta.
Can you wait a few weeks?	Voitko odottaa pari viikkoa?
Pardon me, is there an ATM in this area?	Anteeksi, mutta onko tässä lähialueella Otto-automaattia?
Your dog is here.	Koirasi on täällä.
Tom has three fingers missing on his left hand.	Tomilta puuttuu kolme sormea vasemmasta kädestä.
What he meant by those words finally dawned on me.	Mitä hän tarkoitti noilla sanoilla lopulta valkeni minulle.
We need to fix this.	Meidän täytyy korjata tämä.
He is quite satisfied with his income.	Hän on varsin tyytyväinen tuloihinsa.
Tom was my friend.	Tom oli ystäväni.
I took the cake out of the oven.	Otin kakun uunista.
Can you unjam the printer?	Voitko selvittää tulostimen tukoksen?
I'll try to keep that in mind.	Yritän pitää tuon mielessä.
It isn't at all clear.	Se ei ole ollenkaan selvää.
Falling in love is the most natural thing in the world.	Rakastuminen on maailman luonnollisin asia.
You're better off without them.	Sinä pärjäät paremmin ilman heitä.
Tom and Mary wanted to talk about old times.	Tom ja Mari halusivat puhua vanhoista ajoista.
That's your responsibility.	Se on sinun vastuualueesi.
I showed my ticket at the door.	Näytin pääsylippuni ovella.
I'm really pleased to hear that.	Olen todella iloinen kuullessani sen.
I asked her to pick me up around four.	Pyysin häntä tulemaan hakemaan minua neljän aikoihin.
I love apple cider.	Omenasiideri on minusta ihanaa.
Dad bought me a camera.	Isä osti minulle kameran.
Did Tom stay?	Jäikö Tom?
I'm not very good with kids.	En tule kovin hyvin toimeen lasten kanssa.
Exercise outdoors.	Harrasta liikuntaa ulkona.
Tom is a good writer.	Tomi on hyvä kirjoittaja.
I like the bright colors.	Pidän kirkkaista väreistä.
I never knew what his name was.	En koskaan tiennyt mikä hänen nimensä oli.
Tom often skips class.	Tomi lintsaa usein.
Can you think of anything else?	Keksitkö jotain muuta?
I visited Tom in Boston three years ago.	Kävin Tomin luona kylässä Bostonissa kolme vuotta sitten.
He's a musicologist.	Hän on musikologi.
Do you know where the hospital is?	Tiedätkö missä sairaala on?
Tom is unprejudiced.	Tom on ennakkoluuloton.
I will go.	Minä menen.
Just look outside.	Katsopa ulos.
I'm not a professional.	En ole ammattilainen.
You'd better not drink the tap water.	Sinun ei pitäisi todellakaan juoda kraanavettä.
Did you kiss Mary?	Suutelitko sinä Marya.
Can you speak French like Tom?	Osaatko puhua ranskaa niin kuin Tom?
If it's a simple tune, I can sight-sing it.	Jos se on yksinkertainen sävelmä, voin laulaa sen ensinäkemältä.
Tom hasn't done his homework yet.	Tomi ei ole vielä tehnyt kotitehtäviään.
I assumed Tom understood French.	Oletin, että Tom ymmärtäisi ranskaa.
Tom likes fish.	Tom pitää kalasta.
I hope I can see you soon.	Toivon näkeväni sinut pian.
Has Tom tried doing this before?	Onko Tom yrittänyt tätä aiemmin?
My hair is too long.	Hiukseni ovat liian pitkät.
Tom was hiding in the barn.	Tomi piileskeli ladossa.
I don't want to look foolish.	En halua näyttää hölmöltä.
Tom teaches.	Tom opettaa.
I have cabin fever.	Olen mökkihöperö.
You can't trust them.	Et voi luottaa heihin.
Tom often buys expensive clothes.	Tom ostaa usein kalliita vaatteita.
I'm thinking of you.	Minä ajattelen sinua.
Tom wants to know more about Mary's past.	Tomi haluaa tietää lisää Marin menneisyydestä.
My mother bought me a pretty dress this past Sunday.	Äitini osti minulle sievän mekon menneenä sunnuntaina.
I don't want to be here when Tom wakes up.	En halua olla täällä kun Tom herää.
Tom seemed somewhat disappointed.	Tom näytti melko pettyneeltä.
I have twins.	Minulla on kaksoset.
A further reduction would make us go into the red.	Lisähinnanalennukset ajaisivat toimintamme tappiolliseksi.
Tom is going to love you guys.	Tom tykkää teistä tosi paljon aivan varmasti.
I didn't want to think about it.	En halunnut ajatella sitä.
Solar energy is a new source of energy.	Aurinkoenergia on uusi energianlähde.
Tom had a hunch that Mary had spent the day reading comic books.	Tomilla oli aavistus että Mary oli kuluttanut päivän lukemalla sarjakuvakirjoja.
Have I done something wrong?	Olenko tehnyt jotain väärin?
I think of you all the time.	Ajattelen sinua kaiken aikaa.
Tom seems happier than before.	Tom näyttää onnellisemmalta kuin ennen.
Did you find your purse?	Löysitkö käsilaukkusi?
I hate hypocrites.	Vihaan tekopyhiä.
I named the kitten Tama.	Annoin kissan nimeksi Tama.
How old are your kids?	Minkä ikäisiä lapsesi ovat?
Do you really want to learn another language?	Haluatko todella oppia toisen kielen?
His car is the latest model.	Hänen autonsa on viimeisintä mallia.
Tom has a funny way of laughing, doesn't he?	Tom nauraa hupaisalla tavalla, eikö vain?
We went out for a pizza last night.	Kävimme ulkona pizzalla eilen illalla.
He is to come to my house tonight.	Hän on tulossa meille tänä iltana.
Wake me up at eight.	Herätä minut kahdeksalta.
Tom refused to work with Mary.	Tom kieltäytyi tekemästä töitä Marin kanssa.
Mary asked Tom to give her a cuddle.	Mari pyysi Tomia halimaan häntä.
This cat is Tom's.	Tämä kissa on Tomin.
I saw Tom there.	Näin Tomin siellä.
The optimist looks into a mirror and becomes more optimistic, the pessimist more pessimistic.	Optimisti katsoo peiliin ja tulee optimistisemmaksi, pessimisti pessimistisemmäksi.
That movie is worth seeing.	Tuo elokuva on näkemisen arvoinen.
He is likely to win the game.	Hän todennäköisesti voittaa pelin.
Did Tom go?	Lähtikö Tom?
I don't like riding the subway.	Minä en tykkää matkustaa metrolla.
Why is your French so good?	Miksi ranskasi on niin hyvää?
I should have studied more.	Minun olisi pitänyt opiskella enemmän.
Our team beat the Lions 3 to 0.	Joukkueemme löi the Lionsin 3-0.
He was just on the verge of going to sleep.	Hän oli juuri nukahtamaisillaan.
This whole thing is really stupid.	Tämä koko juttu on todella typerä.
Tom wasn't sure who he was supposed to meet.	Tom ei ollut varma kenet hänen pitäisi tavata.
I've got to study.	Minun pitää opiskella.
The new building is enormous.	Uusi rakennus on valtava.
I told Tom Mary wanted to borrow his mandolin.	Kerroin Tomille, että Mari haluaa lainata hänen mandoliiniansa.
Who stole the apples?	Kuka varasti omenat?
She kissed him.	Hän suuteli häntä.
In poker, three of a kind beats two pairs.	Pokerissa kolmoset voittaa kaksi paria.
Tom is Mary's son.	Tom on Marin poika.
Your stupid plan is actually working.	Typerä suunnitelmasi todella toimii.
I'm amused.	Olen huvittunut.
Natural resources are not limitless.	Luonnonresurssit eivät ole rajattomia.
Tom is dancing.	Tom tanssii.
I bought a pair of leather gloves.	Minä ostin nahkahanskat.
I will include the author's and publisher's names.	Haluan sisällyttää mukaan kirjailijan ja julkaisijan nimet.
I've been hoping you would drop in.	Olen toivonut sinun pistäytyvän kylässä.
Tom is young and innocent.	Tomi on nuori ja viaton.
Tom is allergic to girls.	Tom on allerginen tytöille.
It was really cheap.	Se oli tosi halpa.
Will you teach me how to play chess?	Opetatko minulle miten shakkia pelataan?
Tom talked to Mary for a minute.	Tom puhui Marylle minuutin.
Japan is to the east of China.	Japani on Kiinasta itään.
I feel strange today and I don't understand why.	Tunnen oloni oudoksi tänään enkä ymmärrä miksi.
Please do it this way.	Tee se tällä tavalla, kiitos.
He talks as if he were rich.	Hän puhuu ikään kuin olisi rikas.
What is this letter?	Mikä tämä kirje on?
I convinced him that he was wrong.	Sain hänet vakuuttumaan siitä, että hän oli väärässä.
I should take this.	Minun pitäisi ottaa tämä.
Tom stirred the soup with a spoon.	Tom hämmensi keittoa lusikalla.
I can't remember.	En saa sitä mieleeni.
Tom was in his underwear.	Tom oli alusvaatteisillaan.
Tom has a fast car.	Tomilla on nopea auto.
Tom has had enough of Mary's complaints.	Tom on saanut tarpeekseen Maryn valituksista.
Tom did his job.	Tom teki työnsä.
Tom had a lot of catching up to do.	Tomilla oli paljon kiinni saavutettavaa.
I need to focus on work.	Minun pitää keskittyä työhön.
Tom doesn't have long to wait.	Tomilla ei ole pitkään odotettavaa.
Tom certainly wouldn't be anywhere near as rich as he is if he hadn't married Mary.	Tom ei olisi tosiaankaan lähellekään yhtä rikas kuin mitä hän on, jos hän ei olisi mennyt Marin kanssa naimisiin.
Guns don't kill people. People kill people.	Aseet eivät tapa ihmisiä. Ihmiset tappavat ihmisiä.
She was a middle-aged woman.	Hän oli keski-ikäinen nainen.
It's a question of principle.	Se on periaatekysymys.
They read her book.	He lukivat hänen kirjaansa.
My natural hair colour is blond.	Luonnollinen hiusvärini on blondi.
What nonsense!	Hölynpölyä!
Tom wasn't surprised to see Mary there.	Tom ei ollut hämmästynyt nähdessään Maryn siellä.
It is difficult for me.	Se on vaikeaa minulle.
Volcanic ash covered the city.	Vulkaaninen tuhka peitti kaupungin alleen.
It was a computer error.	Se oli tietokonevirhe.
You did that on purpose.	Sinä teit sen tahallaan.
Tom is waiting.	Tom odottaa.
Three months ago, I didn't even know how to say one word of French.	Kolme kuukautta sitten en osannut sanoa sanaakaan ranskaksi.
The damage will cost us a lot of money.	Vauriot tulevat maksamaan meille paljon.
I don't want you to lose.	En halua sinun häviävän.
Please limit your presentation to 30 minutes.	Esitelmän suosituskesto on korkeintaan 30 minuuttia.
She came home for the first time in five years.	Hän palasi kotimaahansa ensimmäistä kertaa viiteen vuoteen.
It's six of one and a half dozen of another.	Se on ihan sama.
We all noticed it.	Me kaikki huomasimme sen.
You're just a boy.	Olet pelkkä poika.
I was taking a bath when the telephone rang.	Kun puhelin soi, olin kylvyssä.
Tom and I have been friends since grade school.	Tom ja minä olemme olleet ystäviä peruskoulusta lähtien.
He's not as old as my brother.	Hän ei ole yhtä vanha kuin veljeni.
There's a lot of dangerous stuff in this warehouse.	Tässä varastossa on paljon vaarallista tavaraa.
I take the train to work every day.	Menen junalla töihin joka päivä.
Necessity is the mother of invention.	Hätä keinot keksii.
Tom only had one pair of socks and they had holes in them.	Tomilla oli vain yksi sukkapari ja niissäkin oli reikiä.
Is this your sack or hers?	Onko tämä sinun vai hänen kassinsa?
Tom asked Mary if she'd like a cup of coffee.	Tom kysyi Marilta haluaisiko hän kupillisen kahvia.
My dad was a coach.	Minun isäni oli valmentaja.
What're you thinking about?	Mitä sinä mietit?
Tom loves chocolate.	Tomin mielestä suklaa on ihanaa.
Wait until your turn comes.	Odottakaa vuoroanne.
They're smiling.	He hymyilevät.
You're kidding me.	Nyt kyllä huijaat minua.
Don't worry. It's easy.	Ei syytä huoleen. Se on helppoa.
Tell me when he will come.	Kerro minulle milloin hän tulee.
I'll take in the washing before it rains.	Otan pyykit sisään ennen kuin alkaa sataa.
I was coughing.	Yskin.
I just fell in love.	Minä vain rakastuin.
He should have worked harder.	Hänen olisi pitänyt työskennellä kovempaa.
He took out a coin from his pocket.	Hän otti kolikon taskustaan.
She has a double chin.	Hänellä on kaksoisleuka.
I believe you're right.	Luulen, että olet oikeassa.
No meal is complete without bread.	Ateria ei ole täydellinen ilman leipää.
Leave now, or you'll miss the train.	Lähde nyt tai myöhästyt junasta.
The passengers came on board all at the same time.	Matkustajat tulivat kaikki samalla kertaa.
It's quite serious.	Se on sangen vakavaa.
Tom drank too much.	Tomi joi liikaa.
Who wrote this poem?	Kuka kirjoitti tämän runon?
Is it still raining?	Sataako vielä?
I'd like to return this.	Haluaisin palauttaa tämän.
You should stay in bed.	Teidän pitäisi pysyä vuoteessa.
You always lie to me.	Aina sinä valehtelet minulle.
She is going to Chiba Stadium.	Hän on menossa Chiba Stadionille.
He is jealous of her talent.	Hän on kateellinen hänen lahjakkuudestaan.
I'd like to pay in cash.	Haluaisin maksaa käteisellä.
Have you finished the work yet?	Oletko jo saanut työt tehtyä?
I have been working here for ten years.	Olen työskennellyt täällä kymmenen vuotta.
