Go.	Mene.
The desire he has had for years has been fulfilled.	Hänen vuosia toivomansa toive toteutui.
The girl was badly injured in the traffic accident.	Tyttö loukkaantui vakavasti liikenneonnettomuudessa.
The government is desperate to keep inflation down.	Hallitus yrittää pitää epätoivoisesti inflaation kurissa.
The job looked quite simple, but it took me a week.	Työ näytti ihan yksinkertaiselta, mutta vei minulta viikon.
The last thing I want to do is cause you a problem.	Viimeinen asian, jota haluan sinulle, on aiheuttaa sinulle ongelmia.
The lunar month is shorter than the calendar month.	Kuun kiertoon perustuva kuukausi on lyhyempi kuin kalenterikuukausi.
The moment we met, we fell in love with each other.	Hetkenä jolloin kohtasimme, rakastuimme toisiimme.
The new drug will be tested in Vaxgen's laboratory.	Uutta lääkettä tullaan testaamaan Vaxgenin laboratoriossa.
The person we're trying to catch is very dangerous.	Henkilö, jonka yritämme saada kiinni, on erittäin vaarallinen.
The prize money enabled me to go on a world cruise.	Palkintorahat antoivat minulle mahdollisuuden mennä maailmanympäriristeilylle.
The slightest mistake may lead to a fatal disaster.	Pieninkin virhe saattaa johtaa tuhoisaan katastrofiin.
The thief ran away in the direction of the station.	Varas pakeni aseman suuntaan.
The train that Tom was riding was hit by lightning.	Junaan, jossa Tom matkusti, osui salama.
There used to be a big cherry tree behind my house.	Taloni takana oli ennen iso kirsikkapuu.
There were few students remaining in the classroom.	Luokassa oli muutamia opiskelijoita jäljellä.
There's a lot of dangerous stuff in this warehouse.	Tässä varastossa on paljon vaarallista tavaraa.
They took enough provisions for three years at sea.	He ottivat muonaa kolmen vuoden tarpeeseen merellä.
This air conditioner consumes a lot of electricity.	Tämä ilmastointilaite kuluttaa paljon sähköä.
This company is listed on the Paris stock exchange.	Tämä yritys on listattu Pariisin pörssiin.
This is the tallest building that I have ever seen.	Tämä on korkein rakennus, jonka olen koskaan nähnyt.
This semester I failed two students for plagiarism.	Tänä lukukautena reputin kaksi opiskelijaa plagioinnista.
To tell the truth, I don't like his way of talking.	Totta puhuakseni, en tykkää hänen tavastaan puhua.
Tom and Mary are going to a dance tomorrow evening.	Tom ja Mary tanssivat huomenillalla.
Tom and Mary watched a documentary about squirrels.	Tomi ja Mari katsoivat oravista kertovan dokumentin.
Tom appears to have achieved what he set out to do.	Tom näyttäisi saavuttaneen sen mitä hän lähti hakemaankin.
Tom asked Mary to tell him why she was leaving him.	Tom pyysi Maria kertomaan hänelle miksi Mari jättää hänet.
Tom asked me if I could help him with his homework.	Tom kysyi minulta voisinko auttaa häntä läksyissä.
Tom couldn't believe that Mary actually kissed him.	Tom ei voinut uskoa, että Mari oikeasti suuteli häntä.
Tom didn't have the courage to tell Mary the truth.	Tomi ei uskaltanut kertoa Marille totuutta.
Tom didn't learn how to swim until he was thirteen.	Tom ei oppinut uimaan kuin vasta 13-vuotiaana.
Tom didn't like children then and he still doesn't.	Tom ei silloin pitänyt lapsista eikä pidä edelleenkään.
Tom didn't seem interested in what Mary was saying.	Tom ei näyttänyt olevan kiinnostunut siitä mitä Mary sanoi.
Tom doesn't have any friends who like to play golf.	Tomilla ei ole ystäviä, jotka pitävät golfinpelaamisesta.
Tom doesn't know the first thing about programming.	Tom ei tiedä ensimmäistäkään asiaa ohjelmoinnista.
Tom doesn't like riding his motorcycle in the rain.	Tom ei pidä sateessa moottoripyörällä ajamisesta.
Tom doesn't need to go there if he doesn't want to.	Tomin ei tarvitse mennä sinne, jos hän ei halua.
Tom doesn't understand why Mary got angry with him.	Tom ei ymmärrä, miksi Mari suuttui hänelle.
Tom fell in love with his best friend's girlfriend.	Tomi rakastui parhaan kaverinsa tyttöystävään.
Tom filled his bucket with sand and turned it over.	Tom täytty sankonsa hiekalla ja käänsi sen ympäri.
Tom found the book Mary had given him quite boring.	Marin antama kirja oli Tomista aika tylsä.
Tom grabbed a coffee and muffin on his way to work.	Tom nappasi mukaansa kahvin ja muffinin työmatkallaan.
Tom had a hard time learning how to ride a bicycle.	Tomilla oli kovasti tekemistä oppia pyöräilemään.
Tom had a queasy feeling in the pit of his stomach.	Tom tunsi mahanpohjassaan tukalaa tunnetta.
Tom had drunk too much coffee so he couldn't sleep.	Tom oli juonut liian paljon kahvia eikä voinut nukkua.
Tom had never even heard of that band at that time.	Tom ei tuohon aikaan ollut edes kuullut siitä yhtyeestä.
Tom has a pretty good idea where Mary might be now.	Tomilla on melko hyvä käsitys siitä missä Mary saattaisi olla nyt.
Tom has a pretty good idea why Mary isn't here now.	Tomilla on melko hyvä käsitys siitä miksei Mary ole täällä nyt.
Tom has never been in a car like the one Mary owns.	Tom ei koskaan ole ollut Maryn omistaman auton kaltaisessa.
Tom has three children that don't go to school yet.	Tomilla on kolme alle kouluikäistä lasta.
Tom is a picky eater and seldom tries anything new.	Tomi on nirso ja maistaa harvoin mitään uutta.
Tom is now the proud father of a healthy baby girl.	Tom on nyt terveen tyttövauvan ylpeä isä.
Tom is one of the most handsome men I've ever seen.	Tomi on yksi komeimmista miehistä, jonka olen koskaan nähnyt.
Tom is only five, but he already knows how to read.	Tom on vasta viisi, mutta hän osaa jo lukea.
Tom is perfectly satisfied with his current salary.	Tom on täysin tyytyväinen nykyiseen palkkaansa.
Tom is very methodical in the way he does his work.	Tom on hyvin suunnitelmallinen työstekenlytavaltaan.
Tom is, without question, the best man for the job.	Tom on kiistämättä paras mies siihen hommaan.
Tom posted a lewd photo of himself on social media.	Tom postasi rivon kuvan itsestään sosiaaliseen mediaan.
Tom poured the contents of his glass into the sink.	Tom kaatoi lasinsa sisällön tiskialtaaseen.
Tom pretended not to notice that Mary was sleeping.	Tom ei ollut huomaavinaan että Mary oli nukkumassa.
Tom seems to be suffering from a guilty conscience.	Tom näyttää kärsivän syyllisyydestä omassatunnossaan.
Tom seems to be unwilling to listen to suggestions.	Tom vaikuttaa haluttomalta kuuntelemaan ehdotuksia.
Tom shot a bear with the rifle his father gave him.	Tomi ampui karhun kiivärillä, jonka hänen isänsä antoi hänelle.
Tom slept for more than three hours this afternoon.	Tom nukkui yli kolme tuntia tänään iltapäivällä.
Tom sold his car to Mary for three hundred dollars.	Tom myi autonsa Marille kolmella sadalla dollarilla.
Tom spread some strawberry jam on a slice of bread.	Tom levitti mansikkahilloa leipäviipaleelle.
Tom thought that Mary wouldn't like Malaysian food.	Tom ajatteli, ettei Mari pitäisi malesialaisesta ruoasta.
Tom tried to get the splinter out of Mary's finger.	Tom yritti saada tikun pois Maryn sormesta.
Tom used to dream of playing professional baseball.	Tom unelmoi aikanaan pelaavansa baseballia ammattilaistasolla.
Tom wanted directions to a good Chinese restaurant.	Tom halusi ohjeet hyvään kiinalaiseen ravintolaan.
Tom wants me to keep helping Mary in any way I can.	Tom haluaa minun jatkavan Marin auttamista kaikilla mahdollisilla tavoin.
Tom was furious when he saw Mary kiss someone else.	Tom oli raivoissaan kun hän näki Marin suutelevan jotakuta toista.
Tom wasn't able to convince Mary to come back home.	Tom ei pystynyt vakuuttelemaan Maria tulemaan takaisin kotiin.
Tom wasn't surprised where he found the lost child.	Tom ei ollut hämmästynyt siitä, mistä hän löysi eksyneen lapsen.
Tom wrote his paper by copy-pasting from Wikipedia.	Tom kirjoitti tutkielmansa kopioimalla Wikipediasta.
Tom, I need to talk to you about something serious.	Tom, minun täytyy puhua sinulle yhdestä vakavasta asiasta.
Two-thirds of the students of this school are boys.	Kaksi kolmesta tämän koulun oppilaasta on poikia.
We have given careful thought to both alternatives.	Me olemme harkinneet tarkkaan molempia vaihtoehtoja.
We stopped talking so that we could hear the music.	Lopetimme juttelun jotta voimme kuulla musiikin.
We went to see the cherry blossoms along the river.	Me menimme katselemaan kirsikankukkia joenrantaan.
We were told that, due to the snow, we may go home.	Meille kerrottiin, että saimme lähteä kotiin lumentulon takia.
We will welcome whoever wants to come to the party.	Toivotan tervetulleiksi juhlaan kaikki, jotka haluavat tulla.
What do you think is the best way to learn English?	Mikä on sinun mielestäsi paras tapa oppia englantia?
What must we do to avoid having this problem again?	Mitä meidän täytyy tehdä välttääksemme tämän ongelman uudelleen?
When you eat pancakes, how many do you usually eat?	Kun syöt pannukakkuja, kuinka monta tavallisesti syöt?
Where is the ladies' room? I want to wash my hands.	Missä naistenhuone on? Haluan pestä käteni.
Which do you like better, white rice or brown rice?	Kummasta pidät enemmän, valkoisesta riisistä vai ruskeasta riisistä?
Wikipedia is the best encyclopedia on the Internet.	Wikipedia on internetin paras tietosanakirja.
Would somebody please tell me what's going on here?	Voisiko joku kertoa mitä täällä tapahtuu?
Would you carry this up to the second floor for me?	Voisitko kantaa tämän puolestani toiseen kerrokseen?
Would you like to hear the story about Paul Bunyan?	Haluaisitko kuulla tarinan Paul Bunyanista?
Would you prefer to go to the zoo or go to a movie?	Menisitkö mieluummin eläintarhaan vai elokuviin?
You are old enough to know better. Behave yourself.	Olet tarpeeksi vanha tietämään paremmin. Käyttäydy kunnolla.
You are working too hard. Take it easy for a while.	Teet liian kovasti töitä. Ota hetken aikaa rauhallisemmin.
You can make a cake with flour and milk and an egg.	Kakku voidaan tehdä jauhoista, maidosta ja munasta.
You know me well enough to know I wouldn't do that.	Tunnet minun tarpeeksi hyvin tietääksesi, etten tekisi niin.
You used to climb our oak tree when you were a kid.	Sinulla oli tapana kiivetä tammipuuhumme, kun olit lapsi.
You will be able to get the news from him tomorrow.	Voit saada uutisen häneltä huomenna.
You're the woman I'll love for the rest of my life.	Sinä olet nainen, jota rakastan elämäni loppuun saakka.
You're tired, aren't you? Why don't you get to bed?	Mahdat olla väsynyt. Käy ihmeessä nukkumaan.
Your teachers have always said that you were smart.	Opettajasi ovat aina sanoneet, että olisit fiksu.
A clear conscience is the sure sign of a bad memory.	Puhdas omatunto on varma merkki huonosta muistista.
A couch potato is something that I don't want to be.	Sohvaperuna on jotain sellaista, joka en halua olla.
A gas stove provides the most even heat for cooking.	Kaasuliesi tarjoaa tasaisimman lämmön ruoanlaitossa.
A great man will be remembered for his achievements.	Merkittävä mies muistetaan saavutuksistaan.
A group started a campaign to preserve rain forests.	Ryhmä aloitti kampanjan sademetsien suojelemiseksi.
A high forehead is indicative of great mental power.	Korkea otsa ilmaisee suuria henkisiä kykyjä.
A large amount of money was spent on the new bridge.	Suuri rahasumma käytetiin uuteen siltaan.
A lot of people are coming out of the movie theater.	Elokuvateatterista tulee ulos paljon ihmisiä.
A lot of people are now trying to sell their houses.	Monet ihmiset yrittävät myydä nyt talojaan.
A man's worth has nothing to do with his appearance.	Ihmisen arvolla ei ole mitään tekemistä hänen ulkonäkönsä kanssa.
A newspaper tells us what is happening in the world.	Sanomalehti kertoo meille mitä maailmalla tapahtuu.
A plastic cup is better than one made of real glass.	Muovimuki on parempi kuin oikeasta lasista tehty.
As of tomorrow, this e-mail address will be invalid.	Huomisesta lähtien tämä sähköpostiosoite on poissa käytöstä.
Before long, the ghost disappeared into a thick fog.	Ennenpitkää aave hävisi paksun sumun sekaan.
Could you lend me your bicycle for a couple of days?	Voisitko lainata minulle polkupyörääsi pariksi päiväksi?
Could you please give me some more examples of that?	Voisitko antaa minulle muutamia lisäesimerkkejä siitä?
Could you tell me how to get to the nearest station?	Voisitko kertoa minulle, miten pääsee lähimmälle asemalle?
Did you keep her picture because you still love her?	Piditkö hänen kuvansa koska yhä rakastat häntä?
Do you have any idea how stupid this makes you look?	Onko sinulla mitään käsitystä siitä kuinka typerältä tämä saa sinut näyttämään?
Do you have something to make this headache go away?	Onko sinulla jotain, jolla tämä päänsärky lähtisi?
Do you know where Tom has been the past three weeks?	Tiedätkö, missä Tomi on ollut viimeiset kolme viikkoa?
Do you still want me to let Tom borrow your bicycle?	Haluatko vielä, että annan Tomin lainata polkupyörääsi?
Do you think Tom would mind if I came with you guys?	Luuletko, että Tomia haittaa, jos minä tulen mukaan?
Does depreciation of the yen give rise to inflation?	Nostaako jenin arvon alentuminen inflaatiota?
Don't worry about it. Everything's going to be fine.	Älä suotta murehdi. Kaikki menee hyvin.
Father translated the French document into Japanese.	Isä käänsi ranskankielisen dokumentin japaniksi.
Fresh fruit and vegetables are good for your health.	Tuoreet hedelmät ja vihannekset ovat hyväksi terveydelle.
Germany is one of Europe's most beautiful countries.	Saksa on yksi Euroopan kauneimmista maista.
Have you read the whole paper from beginning to end?	Oletko lukenut koko tutkimuksen alusta loppuun?
He did not answer the phone, so I sent him an email.	Hän ei vastannut puhelimeen, joten lähetin hänelle sähköpostia.
He doesn't have a particle of kindness in his heart.	Hänen sydämessään ei ole hitustakaan ystävällisyyttä.
He is said to have been very poor when he was young.	Hänen sanotaan olleen hyvin köyhä nuorena.
He reads French and German, not to speak of English.	Hän osaa lukea ranskaa ja saksaa, puhumattakaan englannista.
He told his mother that he would study the next day.	Hän kertoi äidilleen opiskelevansa seuraavana päivänä.
He took care of his mother after his father's death.	Hän huolehti äidistään isänsä kuoleman jälkeen.
How could Tom have known where the money was hidden?	Miten Tom saattoi tietää mihin rahat oli piilotettu?
How do I explain it so that everyone understands it?	Miten selitän sen niin, että kaikki ymmärtävät?
How many times have I told you to fold your clothes?	Kuinka monta kertaa olen käskenyt sinun viikata vaatteesi?
Hunting wasn't as much fun as I thought it would be.	Metsästäminen ei ollut niin hauskaa kuin mitä luulin sen olevan.
I am going to stay here till the day after tomorrow.	Jään tänne ylihuomiseen asti.
I beg your pardon. I didn't know this was your seat.	Olen pahoillani. En tiennyt, että tämä on Teidän paikkanne.
I can't do without an air conditioner in the summer.	En pärjää kesällä ilman ilmastointilaitetta.
I can't keep up with the recent British music scene.	En pysy mukana uuden brittiläisen musiikkiskenen tahdissa.
I can't stand that nasty attitude of his any longer.	En voi sietää tuota hänen ikävää asennettaan enää kauempaa.
I carefully considered my options before proceeding.	Harkitsin huolellisesti vaihtoehtojani ennen toimenpiteitä.
I couldn't think of a better place to have a picnic.	En keksinyt parempaa paikkaa eväsretkelle.
I didn't have anything to do with Tom getting fired.	Minulla ei ollut mitään tekemistä Tomin erottamisessa.
I don't have a lot of time. Can you take care of it?	Minulla ei ole paljoa aikaa. Voisitko sinä hoitaa sen?
I don't think he has anything to do with the matter.	En usko, että hän liittyy asiaan millään tavalla.
I don't think this city is as safe as it used to be.	Minusta tämä kaupunki ei ole enää yhtä turvallinen kuin ennen.
I don't think you fully understand the consequences.	En luule, että täysin ymmärrät seuraukset.
I don't want Tom to know. This has to be our secret.	En halua, että Tom saa tietää. Tämän täytyy olla meidän salaisuutemme.
I don't want to do this, but you leave me no choice.	En halua tehdä tätä, mutta et jätä minulle muuta mahdollisuutta.
I found my father's diary that he kept for 30 years.	Löysin isäni päiväkirjan, jota hän piti kolmenkymmenen vuoden ajan.
I had a room with a beautiful view of the mountains.	Minulla oli huone, josta oli kaunis näköala vuorille.
I have a lot of things I have to do before tomorrow.	Minulla on paljon asioita, jotka minun täytyy tehdä huomiseen mennessä.
I heard that Tom asked you to help him wash his car.	Tom kuulemma pyysi sinua auttamaan hänen autonsa pesussa.
I heard there were many double suicides in Sonezaki.	Kuulin, että Sonezakissa oli useita kaksoisitsemurhia.
I just happened to be there at the same time as Tom.	Satuin vain olemaan siellä samaan aikaan kuin Tom.
I just heard that Tom and Mary are moving to Boston.	Kuulin juuri, että Tom ja Mari ovat muuttamassa Bostoniin.
I learned how to drive when I was fifteen years old.	Opin ajamaan viisitoistavuotiaana.
I like these clothes more than I like those clothes.	Pidän näistä vaatteista enemmän kuin noista.
I must apologize to you for not writing for so long.	Minun täytyy pahoitella sitä, etten ole kirjoittanut niin pitkään aikaan.
I objected when the waiter tried to remove my plate.	Esitin vastalauseen kun tarjoilija yritti viedä lautaseni.
I only wish I had a little more time to finish this.	Voi kunpa minulla vain olisi vähän enemmän aikaa tämän valmiiksi saamiseksi.
I plan to spend the New Year's holiday in Australia.	Suunnittelen viettäväni uudenvuodenvapaat Australiassa.
I remember the night when I first saw the Milky Way.	Muistan sen yön, kun ensi kerran näin linnunradan.
I should've warned you that Tom is a little strange.	Minun olisi pitänyt varoittaa sinua siitä, että Tom on vähän outo.
I spend at least three hours a week studying French.	Käytän vähintään kolme tuntia viikossa ranskan opiskeluun.
I take a walk almost every morning before breakfast.	Käyn kävelyllä melkein joka aamu ennen aamupalaa.
I think I know everything I need to know about this.	Luulen, että tiedän tästä kaiken, mikä minun tarvitsee tietää.
I think Tom is too young to really understand women.	Minä luulen, että Tomi on liian nuori ymmärtämään kunnolla naisia.
I think Tom might actually want someone to kill him.	Luulen, että Tom saattaa oikeastaan haluta jonkun tappavan hänet.
I think it might help if you'd talk to Tom yourself.	Luulen, että se saattaisi auttaa, jos puhuisit Tomille itse.
I think we should be allowed to go anywhere we want.	Minusta meidän pitäsi saada mennä mihin tahansa haluamme.
I thought you didn't want to talk about this matter.	Luulin, että sinä et haluaisi jutella tästä asiasta.
I thought you said you didn't want to talk about it.	Luulin sinun sanoneen ettet halua puhua siitä.
I thought you were going to travel around Australia.	Luulin, että aioit matkustella ympäri Australiaa.
I used to go swimming in the sea when I was a child.	Lapsena minulla oli tapana käydä meressä uimassa.
I will never forget your kindness as long as I live.	En koskaan unohda ystävällisyyttänne niin kauan kuin elän.
I wonder if I can ask you a few questions about Tom.	Voinkohan kysyä sinulta muutaman kysymyksen Tomista?
I wonder if Tom is as excited about this as Mary is.	Onkohan Tom yhtä innostunut tästä kuin Mary?
I wonder if Tom is likely to be here this afternoon.	Onkohan Tom todennäköisesti täällä tänään iltapäivästä.
I would like to give him a present for his birthday.	Haluaisin antaa hänelle jonkin syntymäpäivälahjan.
I'd explain it to you, but your brain would explode.	Voisin selittää asian, mutta aivosi räjähtäisivät.
I'd just like to point out a few potential problems.	Haluaisin osoittaa muutamia mahdollisia ongelmia.
I'd like you to translate this document into French.	Haluaisin, että kääntäisit tämän asiakirjan ranskaksi.
I'll give you five minutes to work out this problem.	Saat viisi minuuttia tämän ratkaisemiseen.
I'm not saying this to hurt you, but it's the truth.	En sano tätä loukatakseni sinua, mutta se on totta.
I'm quite certain I don't want to be married to you.	Olen aika varma, että en halua mennä sinun kanssasi naimisiin.
I'm your wife and I like to look nice to please you.	Olen vaimosi ja haluan näyttää sievältä sinua miellyttääkseni.
I've noticed that Tom doesn't usually lock his door.	Olen huomannut, että Tom ei yleensä lukitse oveaan.
If I were in good health, I could pursue my studies.	Jos olisin terve voisin jatkaa opiskelujani.
If Tom had asked me for help, I would've helped him.	Jos Tom olisi pyytänyt minulta apua, olisin auttanut häntä.
If only she were here, she would tell me what to do.	Jos hän vain olisi täällä, hän kertoisi minulle mitä tehdä.
If that guitar weren't so expensive, I could buy it.	Jos tuo kitara ei olisi niin kallis, voisin ostaa sen.
If the weather is good tomorrow, let's go on a hike.	Jos huomenna on hyvä sää, mennään patikoimaan.
If you want to be free, destroy your television set.	Jos tahdot olla vapaa, tuhoa televisiosi.
Is there anything you want us to send you from home?	Onko mitään, mitä haluat meidän lähettävän sinulle kotoa?
It is possible that you have already read this book.	On mahdollista että olet jo lukenut tämän kirjan.
It is rude to speak with your hands in your pockets.	On epäkohteliasta puhua kädet taskuissa.
It took Tom an hour to load everything on the truck.	Tomilta vei tunnin lastata kaikki kuorma-autoon.
It took him three months to learn to ride a bicycle.	Hänellä kesti kolme kuukautta oppia pyöräilemään.
It was not until I came to Japan that I ate sashimi.	Söin sashimia ensimmäisen kerran vasta kun tulin Japaniin.
It's really raining hard, isn't it? Did you get wet?	Sataa todella kovaa,vai? Kastuitko?
It's very warm. Shall I turn on the air conditioner?	On todella kuuma. Laitanko ilmastointilaitteen päälle?
Japan and China differ from each other in many ways.	Japani ja Kiina eroavat toisistaan monella tavalla.
Last night, we looked at the stars from the rooftop.	Viime yönä katselimme tähtiä katolta.
Let's have dinner before we go to the baseball game.	Syödään päivällinen ennen kuin menemme baseball-peliin.
Let's spend less time arguing and more time working.	Käytetään vähemmän aikaa riitelyyn, enemmän työskentelyyn.
Life doesn't always work out the way you want it to.	Elämä ei aina mene juuri niin kuin haluaisimme.
Long, long ago, there lived an old man and his wife.	Kauan, kauan sitten eli vanha mies ja hänen vaimonsa.
Look at the cute little baby sleeping in the cradle.	Katso söpöä pientä vauvaa, joka nukkuu sängyssä.
Mary was convinced that she would never get married.	Mary oli vakuuttunut, ettei hän menisi koskaan naisimiin.
Meditation doesn't cost anything, but it takes time.	Meditointi ei maksa mitään, mutta vaatii aikaa.
Most accidents happen within 10 miles of your house.	Suurin osa onnettomuuksista sattuu kymmenen mailin etäisyydellä kodista.
My brother has been living in London for many years.	Veljeni on asunut Lontoossa monta vuotta.
My driving instructor says I should be more patient.	Autokoulun opettajani sanoo, että minun pitäisi olla kärsivällisempi.
My family consists of my father, mother, and sister.	Perheeni koostuu isästäni, äidistäni ja siskostani.
My guess is that Tom isn't going to want to do that.	Arvelen, ettei Tom tule haluamaan tehdä sitä.
My mother bought me a pretty dress this past Sunday.	Äitini osti minulle sievän mekon menneenä sunnuntaina.
No government land could be bought with paper money.	Yhtään valtionmaata ei voinut ostaa ilman käteistä.
No matter how long it takes, I will finish the work.	Huolimatta siitä kuinka kauan se kestää, teen työn valmiiksi.
Now that I have enough money, I can get that camera.	Nyt kun minulla on tarpeeksi rahaa, voin hankkia sen kameran.
On the following day, we all had terrible hangovers.	Seuraavana päivänä meillä kaikilla oli kauhea krapula.
One drop of the poison is enough to kill 160 people.	Yksi tippa tätä myrkkyä riittää tappamaan 160 ihmistä.
One of my dreams is to study the Icelandic language.	Yksi unelmistani on opiskella islantia.
Our team was in high spirits because of the victory.	Joukkueemme mieliala oli korkealla voiton ansiosta.
Please give me a little more time to think about it.	Anna minulle vähän lisää harkinta-aikaa.
Rock climbing without proper equipment is dangerous.	Kalliokiipeily ilman kunnollisia välineitä on vaarallista.
She asked me who I thought would win the tournament.	Hän kysyi minulta kenen luulen voittavan turnauksen.
She can ride a motorcycle, not to mention a bicycle.	Hän ei osaa ajaa vain moottoripyörällä vaan myös polkupyörällä.
She couldn't attend that party because she was sick.	Hän ei voinut osallistua juhliin, koska hän oli sairas.
She saved my life with mouth-to-mouth resuscitation.	Hän pelasti henkeni suusta-suuhun-tekohengityksellä.
She translated the letter from Japanese into French.	Hän käänsi kirjeen japanista ranskaksi.
She went to the hairdresser's to have her hair done.	Hän meni kampaajalle laitattamaan hiuksensa.
Spellchecking will usually catch most of your typos.	Oikeinkirjoituksen tarkistus huomaa yleensä suurimman osan kirjoitusvirheistämme.
That's an interesting proposal. I'll think about it.	Sepä on mielenkiintoinen ehdotus. Harkitsen sitä.
That's the reason why I couldn't attend the meeting.	Se on syy siihen, miksi en voinut osallistua kokoukseen.
The boy dreamed of going on an Antarctic expedition.	Poika unelmoi menevänsä Etelänavan tutkimusmatkalle.
The bridge collapsed when one of the cables snapped.	Silta romahti yhden tukivaijereista irrottua.
The cop went through his pockets, but found nothing.	Poliisi tarkasti hänen taskunsa mutta ei löytänyt mitään.
The government should invest more money in industry.	Valtion pitäisi investoida enemmän rahaa teollisuuteen.
The man who lives next door to us is a famous actor.	Meidän naapurissamme asuva mies on kuuluisa näyttelijä.
The most beautiful flowers have the sharpest thorns.	Kauneimmilla kukilla on terävät piikit.
The most wonderful thing about baseball is teamwork.	Hienoin asia baseballissa on tiimityö.
The motor died before we got to the top of the hill.	Moottori sammui kun pääsimme mäen päälle.
The next morning, the snowman had completely melted.	Seuraavana aamuna lumiukko oli sulanut kokonaan.
The people for the experiment were chosen at random.	Ihmiset valittiin testiin satunnaisesti.
The percentage of illiteracy in that country is 36%.	Siinä maassa lukutaidottomuus on 36%.
The police have arrested the murderer's accomplices.	Poliisi on pidättänyt murhaajan rikoskumppanit.
The police persuaded her not to jump off the bridge.	Poliisi suostutteli hänet olemaan hyppäämättä alas sillalta.
The population of the world will double before long.	Maailman väkiluku kaksinkertaistuu pian.
The priest blessed the marriage of the happy couple.	Pappi siunasi onnellisen parin avioliiton.
The priest who speaks French will be here next week.	Ranskaa puhuva pappi tulee olemaan täällä ensi viikolla.
The strange-looking woman was thought to be a witch.	Oudon näköistä naista luultiin noidaksi.
The trouble is that we have nowhere to stay tonight.	Ongelma on se, ettei meillä ole yösijaa täksi yöksi.
There are a lot of beautiful songs on these records.	Näillä levyillä on paljon kauniita lauluja.
There are no hospitals in the vicinity of his house.	Talon lähellä ei ole sairaaloita.
There was no objection on the part of those present.	Ei ollut vastustusta läsnäolijoiden puolesta.
These cookies aren't expensive, but they taste good.	Nämä pikkuleivät eivät ole kalliita, mutta ne maistuvat hyviltä.
They guaranteed regular employment to their workers.	He takasivat vakituisen työn työläisilleen.
They hoped to sell the stocks at even higher prices.	He toivoivat myyvänsä osakkeet vielä korkeampaan hintaan.
They plan to do away with most of these regulations.	He suunnittelevat useimpien näiden säännösten poistamista.
They won't allow me to do what I'm being paid to do.	Ne eivät salli minun tehdä sitä mistä minulle maksetaan.
This is the first time I've seen anything like this.	Näen tällaista ensi kertaa.
This is the second time Tom has been here this week.	Tämä on toinen kerta, kun Tom on ollut täällä tällä viikolla.
Tokyo is more populous than any other city in Japan.	Tokio on väkirikkaampi kuin mikään muu Japanin kaupunki.
Tom and Mary aren't quite sure what to make of this.	Tom ja Mary eivät ole oikein varmoja mitä tehdä tästä.
Tom and Mary don't eat out as often as they used to.	Tom ja Mari eivät syö ulkona niin usein kuin heillä oli tapana.
Tom and Mary have actually never been on a date yet.	Tom ja Mary eivät ole oikeastaan olleet vielä treffeillä.
Tom and Mary went on a two week honeymoon to Hawaii.	Tom ja Mari menivät kahden viikon kuherroskuulle Havaijille.
Tom asked Mary to help him with his science project.	Tom pyysi Maria auttamaan häntä tiedeprojektinsa kanssa.
Tom cut off a piece of meat and put it on his plate.	Tomi leikkasi lihapalasen ja laittoi sen lautaselleen.
Tom didn't begin to write songs until he was thirty.	Tom ei alkanut kirjoittaa lauluja kuin vasta 30-vuotiaana.
Tom didn't even bother to ask Mary what she thought.	Tom ei edes vaivautunut kysymään Marilta mitä mieltä hän oli.
Tom didn't give me a chance to explain what I meant.	Tom ei antanut minulle mahdollisuuttakaan selittää mitä tarkoitin.
Tom didn't start to write songs until he was thirty.	Tom ei alkanut kirjoittaa lauluja kuin vasta 30-vuotiaana.
Tom doesn't know whether Mary will ever forgive him.	Tom ei tiedä antaako Mari hänelle ikinä anteeksi.
Tom had no choice except to accept the consequences.	Tomilla ei ollut muuta vaihtoehtoa kuin hyväksyä seuraukset.
Tom had to listen to the whole story all over again.	Tomin täytyi kuunnella koko tarina taas kerran uudestaan.
Tom has a few more things to do before he can leave.	Tomilla on joitakin asioita tehtävänä ennen kuin hän voi lähteä.
Tom has developed a new system for learning English.	Tom on kehittänyt uuden järjestelmän oppia englantia.
Tom has finally decided that he has to go to Boston.	Tom on vihdoinkin päättänyt, että hänen täytyy mennä Bostoniin.
Tom has just installed an alarm system in his house.	Tom on juuri asentanut hälytysjärjestelmän taloonsa.
Tom has no recollection of how he got his black eye.	Tomilla ei ole muistikuvaa siitä miten hän sai mustan silmän.
Tom is a gang member. You should stay away from him.	Tom on jengiläinen. Sinun pitäisi pysyä erossa hänestä.
Tom is planning to go to Boston next week, isn't he?	Tomi on aikeissa mennä Bostoniin ensi viikolla, eikö vain?
Tom is the oldest person here, no question about it.	Tom on vanhin henkilö täällä, siitä ei ole epäilystäkään.
Tom isn't just my brother. He's my best friend, too.	Tomi ei ole ainoastaan minun veljeni. Hän on myös minun paras ystäväni.
Tom isn't really interested. He's just being polite.	Tom ei ole oikeasti kiinnostunut. Hän vain yrittää olla kohtelias.
Tom lied when he told Mary that he had won the race.	Tom valehteli, kun hän kertoi Marille, että hän oli voittanut kilpailun.
Tom likes to eat mashed potatoes with lots of gravy.	Tom tykkää syödä perunamuusia reilulla kastikkeella.
Tom never complains, no matter how hard the work is.	Tom ei koskaan valita, ei vaikka työ olisi miten rankkaa tahansa.
